Feature,Importance
memory_retention_score,0.4572383947313635
sleep_hours,0.27168888384869705
daily_screen_time_hours,0.19109679764862203
focus_index,0.06479309300251782
exam_score,0.0012815151599125725
social_media_hours,0.0004885161494892167
burnout_level,0.00047230320754379235
screen_time_hours,0.00044861071393976056
self_study_hours,0.00044007901270421215
study_hours,0.0004258875059272677
depression_score,0.0004170926483755089
exercise_minutes,0.0004090609038585732
streaming_usage_hours,0.0004053637625344288
work_related_usage_hours,0.0003986546129153817
anxiety_score,0.00039806995354305476
app_youtube_likes,0.00039683309877727366
online_classes_hours,0.00039638109789198983
mental_health_score,0.0003939050351912245
cognitive_age,0.00039192528848790636
caffeine_intake_mg,0.0003911692361925359
app_screen_time_min,0.0003911137900840927
gaming_hours,0.000388207804483198
productivity_score,0.00038354307437432134
gaming_usage_hours,0.00038277764945851626
push_notifications_per_day,0.00038221517597386226
messaging_usage_hours,0.00038150513558040945
tech_savviness_score,0.00037880420715899363
app_youtube_comments,0.0003725871402256463
app_youtube_views,0.0003708035872981981
social_media_usage_hours,0.00033968897754574454
attention_fragmentation_score,0.00033929949492377936
digital_overstimulation_score,0.00033241023190326086
phone_unlocks_per_day,0.0003069650143502393
age,0.0002610203416509205
daily_steps,0.0001940739743089823
app_interactions,0.0001919327845887911
heart_rate,0.00019025527636337214
physical_activity_level,0.00018526459505957717
stress_level_lifestyle,0.00018112745045877665
app_launches,0.0001577692088719881
sleep_quality,0.00014346928795105337
self_reported_addiction_level,0.00012582993868245776
work_interest,9.725138091215694e-05
social_weakness,9.709786059273707e-05
mood_swings,9.558714459559477e-05
growing_stress,9.072820706740497e-05
upcoming_deadline,8.983677589352021e-05
academic_level_High School,6.864158905964544e-05
coping_struggles,6.586783414077637e-05
part_time_job,6.186594844453492e-05
gender_Other,6.073809575327618e-05
internet_quality_Average,5.953357477424313e-05
academic_level_Undergraduate,5.7754339080455245e-05
gender_Male,5.623861776117544e-05
gender_Female,5.324174159041731e-05
internet_quality_Poor,5.270853261758768e-05
internet_quality_Good,5.206972864707267e-05
academic_level_Postgraduate,4.988158294951723e-05
bmi_category_Overweight,4.5157838947067796e-05
bmi_category_Normal,4.305444463628739e-05
app_is_productive,4.1281557791190515e-05
bmi_category_Obese,8.262444964065897e-06
